icao24,model
a1abb8,172M
a52699,172G
a3fd8d,172I
a04b8f,172S
396435,172R Skyhawk
a06302,172P
a9e23c,R172K
a6a60b,172S
c05e38,172L (Cessna)
a9dada,172N
c065d8,R172K (Cessna)
ab8ad7,172K
a3fdf3,172I
adb614,172A
a69b63,172F
403ed4,CESSNA 172R Skyhawk
3d0db3,172S Skyhawk SP
a02987,172S
a6c855,172S
a41669,172E
a9e60e,172N
a29c10,172H
a8a5bb,172P
a3f9ca,172S
3d193e,FR172F Rocket
a54b1b,172S
a3f36d,172S
a164f3,172C
c05051,172M (Cessna)
4.01E+51,REIMS CESSNA F172N Skyhawk
a608af,172N
a1221e,172RG
a24d3d,172D
aaa9f0,172K
a413a7,172E
a9e691,172N
a2607e,172N
458748,F172E
a73960,172N
a0425f,172G
a0291a,172M
a120bf,172M
a9e107,172M
a91b1f,172S
c05423,172M (Cessna)
a68c67,172N
a50e72,172S
a82ba1,172RG
c07476,172S (Cessna)
aadc82,172L
a9edfc,172N
a6edcb,172P
ab9621,172K
a48a00,172H
a2b88d,172H
a24940,172D
4023b1,CESSNA FR172J Reims Rocket
a47536,172L
a0ad5f,172C
3d0ac4,F172K
a501dc,172G
c02810,172S (Cessna)
a76ad2,172G
a1a008,172M
aa33d9,172B
3d12e3,F172
3d2c7c,172S Skyhawk SP
a91d26,172S
a7a778,172N
a5ef5a,172P
4b9052,172N Skyhawk
c01ba2,172M (Cessna)
a344b7,172N
ab022f,172M
a20674,172M
c04a46,172L (Cessna)
43e775,172N Skyhawk
a258f6,172M
a5b699,172K
a8aa6c,172S
adb1d1,172A
ab170f,172F
460683,172N Skyhawk
a5eb3e,172N
ab7527,172I
390a6a,172RG Cutlass RG
a07841,172M
a9c77d,172K
c019cc,172 (Cessna)
a2d558,172D
a9ed78,172N
a605cb,172N
a259ec,172D
a1f599,172S
a905a5,172A
a29154,172H
a3fa5f,172I
a22936,172R
a9c4bb,172K
ab7532,172C
a9e94f,172N
c083f1,172M (Cessna)
a34500,R172E
40198f,CESSNA F172L Skyhawk
a86c36,172M
a9af67,172R
39d592,172S Skyhawk SP
4786c4,172D Skyhawk
a07090,172M
3d0b8d,F172L
c0026c,172K (Cessna)
aaf782,172H
a39ca1,R172K
a692fe,172N
a05a13,172L
a8bb3b,172P
a9e7f5,172N
a9e198,R172K
aaa6c2,172B
4b0660,F172P
385d0f,FR172J Rocket
a8adda,172P
a19524,172M
4caa80,CESSNA F172N
a9e2e9,R172K
a9c4e9,172A
a12263,172N
a6f109,172E
a71bf7,172F
c0773f,172A (Cessna)
a9e28e,R172K
a19ab4,172P
a18d10,172R
a9ea89,172N
a9c437,172L
a094a3,172M
ad3e71,172R
a681a4,172R
aacd52,172K
c005cf,172M (Cessna)
402bc5,CESSNA 172N Skyhawk
ab78a0,172F
a9a3cc,172S
47861f,172B Skyhawk
a23760,172D
3d1af7,F172P
a67af3,172M
a00743,R172K
a66ef1,172N
a198de,172M
a8a5b6,172RG
3d0efb,F172M
a80fc1,172M
a8b2ff,172M
c0322b,172G (Cessna)
a1859a,172L
a89e48,172RG
4ca6bf,CESSNA 172S
a12219,172RG
aaa9ca,172B
a1f2a3,172N
a457c0,172G
a9e159,R172K
a8a5c1,172P
a85e3b,172N
a5af78,172K
a6df00,172F
ab5b74,172F
a9e75b,172N
ac1058,172S
ad0a6d,172M
ab0a4e,172R
abb8c5,P172D
a60258,172N
ac80ae,172M
c067c4,172M (Cessna)
3d0836,172N Skyhawk
a9e5fc,172N
a9edf7,172N
c04bbb,172M (Cessna)
ab5f46,172I
3d2bc6,F172
aa778c,172E
a804b8,172M
aaf449,172M
a7865a,172I
a120d0,172L
aa5395,172L
ad26fd,172S
3d0d14,F172M
a30322,172S
a8e7f1,172R
c0429d,172H (Cessna)
a31e06,172R
a6f5a4,172R
ab8687,172F
aae93d,172B
ad6a14,172M
a6778d,172P
a2d07b,172N
a8aa67,172S
a9d886,172N
a70db0,172P
a1be90,172M
a2df5d,172H
aa6f6f,172E
aaefd9,172B
a6e59e,172E
a6be11,172N
c0466f,172RG (Cessna)
390d15,F172P
aa9e0a,172L
a18344,172S
a4ec6e,172S
405d30,CESSNA 172S Skyhawk
a0acf6,172C
a0907b,172M
a358ed,172H
a558b5,172M
a80b37,172M
a9f107,172M
a02884,172S
40219e,REIMS CESSNA F172N Skyhawk
a8288d,172N
a5ab31,172K
a1b2ea,172S
398504,F172P
ab8276,172K
ab8dfd,172K
a6450b,172M
a46b3e,172S
aa3846,R172K
a9ae56,172L
c0716c,172L (Cessna)
a2a9dc,172D
c07fc4,172M (Cessna)
3908f5,F172
c04713,172M (Cessna)
a32ce2,172E
a2fc28,172D
a6ee1c,172P
a692f9,172P
ab956a,172K
a4542c,172G
aa3851,R172K
adc4cd,172A
a0b8fd,R172E
a5da4c,172N
adb8cb,172N
a088e8,172C
aa12cf,172A
c03520,172GX (Cessna)
a803af,172N
a06d02,172M
a88b0b,172N
a18fef,172RG
a52e2a,172G
a6cd20,172RG
ada530,172R
a06243,172M
a9d687,172N
a088f3,172M
aa37e2,R172K
385d15,F172M
50ff24,F172M
a9e1e3,R172K
adaf06,172R
a7fca8,172N
a09c95,172M
a07e95,172C
a16b46,172M
c01932,172N (Cessna)
aa3f0a,172N
a5c626,172M
c04587,172N (Cessna)
a0702b,172M
c0832b,172N (Cessna)
a0317b,172M
a9e9e1,172N
a43e74,172E
a95c4c,172P
c01fad,172A (Cessna)
a239f3,172H
ad7528,172P
c05e7a,172N (Cessna)
a0711b,172M
c011bb,172M (Cessna)
c04592,172N (Cessna)
ab8ac2,172I
4b982f,172R Skyhawk
a413de,172N
a05f74,172S
a65ed4,172N
a5a075,172I
c05284,172M (Cessna)
a009ec,172M
a9d648,172N
a65448,172S
a5cc72,172S
ad8eb8,172A
a9872d,172S
ac4c49,172M
a074f6,172M
c05656,172E (Cessna)
c08904,172S (Cessna)
c00f04,172M (Cessna)
a2e40d,172L
490567,F172H
aa6679,172A
39380f,172R Skyhawk
c02dc1,172E (Cessna)
aab5d9,R172K
a194de,172M
a5af11,172K
c0803c,172L (Cessna)
ad6a66,172M
a9e6f2,172N
a2eaa9,172L
a9eecc,172N
c02335,172R (Cessna)
a64fd8,172M
3006f3,FR172J Rocket
aac725,172F
a2b872,172D
a0b14b,172H
a12160,172S
a9b642,172L
aa38d0,R172K
a87ae9,172RG
3d0772,172N Skyhawk
ada0ef,172P
a9db31,172N
3d3ec0,Cessna 172R Skyhawk
aa16a9,172A
c02340,172P (Cessna)
a5d034,172S
aa57c0,172A
a09076,R172K
a5bec7,172R
a1c09d,172S
aa2165,172A
a28160,172H
ad031e,172RG
a59c75,172I
a87af4,172P
ab73f9,172S
484707,F172N
a098ae,172L
aa2f62,172N
a5ab0b,172K
ab8df8,172C
a0856a,172S
a2981b,172D
4.02E+11,CESSNA F172H Skyhawk
a33496,172E
c04765,172M (Cessna)
a08513,172M
a1216d,172E
aaf390,172B
aad84b,172F
a9ee48,172N
a31b69,172M
a40c41,172M
adbc94,172P
a8a27f,172M
a8f242,172S
a6c225,172P
a20dca,172M
a808b6,172M
a12f13,172H
ad06f9,172N
ab74fa,172C
3d1eb6,F172H
40229a,CESSNA 172RG Cutlass Rg
c05462,172M (Cessna)
a07160,172M
ac0b54,172F
401e1b,CESSNA F172H Skyhawk
a180ec,172L
ac2938,P172D
a0f83d,172C
a1229a,172M
ad4ade,172R
506df3,172N Skyhawk
a5b653,172K
ab4a85,172F
a7e7c1,172N
a6fc8d,172M
a23df6,172R
a86f64,172M
a6b329,172P
a83b53,172RG
a1a755,172M
a87737,172M
a0a996,172N
ab4e57,172H
c08416,172N (Cessna)
ad3f41,172RG
a6acbd,172S
a12c24,172E
aadc77,172K
c04481,172M (Cessna)
c0576a,172 (Cessna)
a0086a,172F
a3fe63,172I
a763ac,172E
a3aedf,172N
a9dbb0,172N
c00a21,172E (Cessna)
aa37f5,R172K
c06c57,172M (Cessna)
a69ab3,172N
c00ea5,172H (Cessna)
382d43,FP172
ab8e02,172K
506db4,F172
a2a2d7,172D
a64c5a,172M
a8cce3,172M
a84ba8,172N
a309ab,172S
a5af63,172G
ab5219,172C
a121ec,172H
c02387,172 (Cessna)
a0561e,172S
c00f61,172M (Cessna)
a9eec7,172N
a4a41f,172G
ac0098,172F
a17260,172N
a61694,172N
45b923,F172
a8b14f,172S
ad652c,172C
abec7e,172F
a05f87,172M
a80f01,172RG
a96dee,172L
a05e24,172M
a9dd5e,172K
a36ca1,172M
a2eb39,172D
a183d6,172S
a6bf2d,172M
a7baa2,172G
a9dd07,172M
c09d79,BLACK HAWK 172cc (Black Hawk)
a9bf07,172M
a0631b,172N
aa47ef,172A
abcf17,172R
a87ace,172M
3d47d5,172S Skyhawk SP
c00bb6,172G (Cessna)
a67969,172N
c03792,172G (Cessna)
ab5ec2,172F
a01890,172M
adc144,172P
a8f5b3,R172E
a69e58,172S
c00631,172K (Cessna)
a4142f,172R
