Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
b'13.0000',b'-144.0000',1009.1,0.0,24.2,91.0,19.0,13.0
,,1000.0,78.0,23.2,92.0,19.0,14.0
,,975.0,299.0,21.2,97.0,20.0,15.0
,,950.0,525.0,21.2,82.0,12.0,6.0
,,925.0,757.0,20.5,79.0,274.0,3.0
,,900.0,994.0,19.2,80.0,248.0,9.0
,,850.0,1484.0,16.7,86.0,243.0,16.0
,,800.0,2000.0,13.9,92.0,238.0,20.0
,,750.0,2543.0,10.7,98.0,223.0,23.0
,,700.0,3115.0,6.6,95.0,214.0,25.0
,,650.0,3721.0,4.9,38.0,227.0,33.0
,,600.0,4370.0,1.5,14.0,226.0,36.0
,,550.0,5064.0,-1.9,8.0,215.0,34.0
,,500.0,5815.0,-6.8,4.0,223.0,26.0
,,450.0,6627.0,-13.0,12.0,251.0,30.0
,,400.0,7515.0,-16.9,2.0,260.0,49.0
,,350.0,8511.0,-20.2,1.0,250.0,61.0
,,300.0,9634.0,-28.9,4.0,239.0,71.0
,,250.0,10907.0,-40.4,10.0,244.0,75.0
,,200.0,12384.0,-53.4,24.0,251.0,72.0
,,150.0,14168.0,-68.4,77.0,269.0,67.0
,,100.0,16513.0,-79.0,57.0,311.0,66.0
b'13.0000',b'-143.0000',1008.9,0.0,24.4,88.0,5.0,11.0
,,1000.0,78.0,23.9,84.0,6.0,14.0
,,975.0,299.0,23.2,78.0,354.0,10.0
,,950.0,526.0,22.2,78.0,302.0,5.0
,,925.0,758.0,20.9,80.0,247.0,9.0
,,900.0,995.0,19.6,82.0,232.0,14.0
,,850.0,1486.0,16.7,87.0,223.0,20.0
,,800.0,2002.0,13.9,91.0,215.0,23.0
,,750.0,2545.0,11.0,96.0,215.0,23.0
,,700.0,3118.0,7.2,99.0,220.0,23.0
,,650.0,3725.0,3.4,92.0,230.0,26.0
,,600.0,4372.0,1.4,62.0,228.0,29.0
,,550.0,5068.0,-1.8,38.0,219.0,25.0
,,500.0,5820.0,-6.5,34.0,231.0,24.0
,,450.0,6635.0,-11.6,44.0,239.0,25.0
,,400.0,7528.0,-17.0,50.0,250.0,30.0
,,350.0,8518.0,-22.7,44.0,251.0,46.0
,,300.0,9633.0,-29.7,4.0,241.0,69.0
,,250.0,10903.0,-40.9,17.0,244.0,79.0
,,200.0,12378.0,-53.6,27.0,252.0,76.0
,,150.0,14160.0,-68.6,80.0,267.0,73.0
,,100.0,16510.0,-77.4,41.0,308.0,58.0
b'13.0000',b'-142.0000',1009.0,0.0,25.1,85.0,342.0,7.0
,,1000.0,79.0,24.6,81.0,342.0,8.0
,,975.0,301.0,23.7,77.0,309.0,5.0
,,950.0,528.0,22.7,76.0,251.0,9.0
,,925.0,760.0,21.4,77.0,234.0,15.0
,,900.0,998.0,20.0,78.0,227.0,19.0
,,850.0,1489.0,16.9,81.0,218.0,23.0
,,800.0,2004.0,13.9,82.0,210.0,27.0
,,750.0,2547.0,10.9,86.0,213.0,27.0
,,700.0,3120.0,7.6,95.0,222.0,23.0
,,650.0,3729.0,4.2,94.0,220.0,21.0
,,600.0,4377.0,0.9,86.0,219.0,22.0
,,550.0,5072.0,-2.4,60.0,219.0,20.0
,,500.0,5824.0,-6.0,32.0,228.0,21.0
,,450.0,6639.0,-11.8,46.0,233.0,24.0
,,400.0,7531.0,-17.7,72.0,231.0,28.0
,,350.0,8519.0,-22.7,24.0,246.0,49.0
,,300.0,9634.0,-30.1,4.0,239.0,67.0
,,250.0,10902.0,-41.0,23.0,244.0,79.0
,,200.0,12378.0,-53.5,26.0,251.0,76.0
,,150.0,14162.0,-68.3,73.0,265.0,72.0
,,100.0,16515.0,-77.4,41.0,305.0,53.0
b'13.0000',b'-141.0000',1009.1,0.0,25.5,83.0,266.0,8.0
,,1000.0,80.0,25.4,75.0,267.0,10.0
,,975.0,303.0,24.6,70.0,259.0,15.0
,,950.0,530.0,23.2,71.0,249.0,18.0
,,925.0,763.0,21.8,74.0,241.0,20.0
,,900.0,1001.0,20.1,78.0,234.0,21.0
,,850.0,1492.0,16.8,87.0,219.0,24.0
,,800.0,2007.0,13.7,87.0,204.0,28.0
,,750.0,2549.0,10.5,85.0,200.0,29.0
,,700.0,3122.0,7.2,91.0,209.0,26.0
,,650.0,3730.0,4.8,88.0,216.0,19.0
,,600.0,4380.0,1.1,86.0,224.0,19.0
,,550.0,5075.0,-2.5,63.0,218.0,20.0
,,500.0,5826.0,-5.9,20.0,227.0,20.0
,,450.0,6643.0,-11.1,11.0,220.0,25.0
,,400.0,7536.0,-17.4,19.0,228.0,32.0
,,350.0,8524.0,-23.0,26.0,242.0,46.0
,,300.0,9638.0,-30.2,5.0,240.0,65.0
,,250.0,10906.0,-40.8,25.0,244.0,77.0
,,200.0,12383.0,-53.3,23.0,250.0,74.0
,,150.0,14167.0,-68.3,69.0,262.0,71.0
,,100.0,16517.0,-78.2,48.0,302.0,54.0
b'13.0000',b'-140.0000',1009.3,0.0,25.6,81.0,256.0,7.0
,,1000.0,81.0,26.2,67.0,258.0,12.0
,,975.0,304.0,25.0,68.0,255.0,17.0
,,950.0,532.0,23.5,73.0,249.0,18.0
,,925.0,765.0,21.7,77.0,242.0,20.0
,,900.0,1003.0,20.0,82.0,234.0,20.0
,,850.0,1494.0,16.5,91.0,220.0,21.0
,,800.0,2009.0,13.7,94.0,206.0,24.0
,,750.0,2552.0,10.7,94.0,198.0,28.0
,,700.0,3125.0,7.5,95.0,199.0,29.0
,,650.0,3733.0,4.1,95.0,209.0,25.0
,,600.0,4381.0,1.2,83.0,223.0,17.0
,,550.0,5078.0,-2.2,68.0,231.0,15.0
,,500.0,5830.0,-5.8,48.0,228.0,14.0
,,450.0,6648.0,-10.6,37.0,224.0,24.0
,,400.0,7543.0,-16.8,31.0,221.0,30.0
,,350.0,8533.0,-23.0,13.0,238.0,40.0
,,300.0,9645.0,-30.6,11.0,241.0,59.0
,,250.0,10912.0,-40.9,31.0,244.0,75.0
,,200.0,12387.0,-53.5,28.0,249.0,73.0
,,150.0,14171.0,-68.6,68.0,260.0,70.0
,,100.0,16515.0,-78.7,55.0,299.0,55.0
b'13.0000',b'-139.0000',1010.0,0.0,24.8,88.0,135.0,11.0
,,1000.0,87.0,24.4,83.0,137.0,13.0
,,975.0,309.0,23.2,82.0,168.0,9.0
,,950.0,536.0,21.9,85.0,216.0,9.0
,,925.0,768.0,20.2,87.0,238.0,13.0
,,900.0,1005.0,18.9,90.0,240.0,16.0
,,850.0,1495.0,16.2,95.0,229.0,20.0
,,800.0,2010.0,13.6,97.0,219.0,24.0
,,750.0,2552.0,10.9,97.0,205.0,27.0
,,700.0,3126.0,7.8,95.0,197.0,29.0
,,650.0,3735.0,4.6,93.0,203.0,28.0
,,600.0,4384.0,1.1,92.0,223.0,22.0
,,550.0,5080.0,-2.9,95.0,254.0,14.0
,,500.0,5831.0,-6.2,85.0,258.0,14.0
,,450.0,6649.0,-10.4,77.0,236.0,22.0
,,400.0,7547.0,-15.8,64.0,226.0,25.0
,,350.0,8541.0,-22.8,49.0,231.0,32.0
,,300.0,9651.0,-31.2,25.0,242.0,48.0
,,250.0,10916.0,-41.3,41.0,246.0,71.0
,,200.0,12389.0,-53.8,37.0,250.0,73.0
,,150.0,14170.0,-68.8,69.0,259.0,71.0
,,100.0,16515.0,-77.6,45.0,295.0,49.0
b'13.0000',b'-138.0000',1010.0,0.0,24.8,87.0,126.0,16.0
,,1000.0,87.0,24.2,85.0,127.0,20.0
,,975.0,309.0,22.8,87.0,132.0,22.0
,,950.0,535.0,21.4,89.0,149.0,22.0
,,925.0,767.0,19.9,92.0,169.0,22.0
,,900.0,1003.0,18.5,96.0,185.0,23.0
