Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,50,-49.2,6.0,14.07,4.97,76.21,1.43,100.0,94.72
2,55,-27.41,5.76,12.08,3.49,74.7,2.4,100.0,91.3
3,46,-20.0,7.2,11.32,3.81,75.39,2.04,100.0,92.31
4,36,-66.56,7.16,14.05,6.54,75.74,2.33,100.0,92.6
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,30,-50.37,6.33,12.71,3.99,75.89,1.55,100.0,92.33
2,35,-19.86,2.79,12.2,3.58,74.72,2.0,100.0,92.06
3,21,-66.52,6.84,9.66,2.3,74.68,2.44,100.0,88.21
4,18,-49.93,4.58,15.81,5.65,76.92,0.75,100.0,98.21
5,32,-31.29,4.69,11.26,3.5,74.64,2.45,100.0,90.48
6,13,-68.07,7.1,21.72,4.18,77.23,0.94,100.0,98.94
7,14,-34.69,4.18,13.0,4.64,76.3,1.65,100.0,95.48
8,24,-17.08,4.63,11.4,3.59,75.34,2.34,100.0,91.96
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,13,-65.21,8.43,22.85,3.52,77.22,0.92,100.0,99.04
2,14,-15.69,4.12,12.77,3.88,74.04,2.16,100.0,90.87
3,15,-34.3,2.36,12.91,3.22,75.99,1.6,100.0,95.66
4,14,-60.17,5.08,11.1,3.86,76.1,1.72,100.0,94.18
5,20,-66.86,7.16,10.11,2.96,74.89,2.49,99.81,87.97
6,12,-49.11,3.93,16.01,5.76,76.81,0.77,100.0,98.18
7,18,-32.61,5.33,8.89,2.02,73.43,2.34,99.0,86.57
8,33,-21.9,3.29,13.32,3.78,74.99,2.1,100.0,92.89
9,21,-19.43,5.18,9.38,1.8,76.19,1.66,99.0,91.89
10,27,-45.01,5.63,14.01,3.16,76.0,1.62,100.0,93.83
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,10,-49.17,4.94,13.37,3.3,76.65,0.75,100.0,97.53
2,15,-15.35,4.12,11.84,3.59,73.82,1.75,99.9,90.06
3,13,-68.07,7.1,21.72,4.18,77.23,0.94,100.0,98.94
4,22,-32.18,4.0,9.82,2.38,73.92,2.41,99.0,88.14
5,10,-51.26,5.62,19.8,4.31,76.82,1.73,100.0,99.32
6,16,-53.39,5.5,9.5,2.5,75.76,1.33,100.0,89.84
7,22,-21.79,3.11,14.97,3.46,75.85,1.48,100.0,91.49
8,11,-35.41,3.79,13.99,4.54,76.17,1.77,100.0,96.42
9,19,-20.99,3.62,9.29,1.25,74.03,2.07,99.05,93.87
10,11,-18.87,4.26,10.74,3.3,77.27,1.14,100.0,92.91
11,21,-66.52,6.84,9.66,2.3,74.68,2.44,100.0,88.21
12,17,-42.93,5.89,14.92,2.38,76.34,1.51,100.0,95.52
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,16,-16.48,3.48,9.22,1.47,73.95,1.45,99.05,91.28
2,11,-51.32,5.25,18.1,3.55,77.45,0.38,100.0,98.73
3,15,-22.87,3.05,11.38,1.82,74.01,2.2,99.0,89.7
4,9,-61.39,3.3,8.49,2.28,73.42,2.47,93.0,82.2
5,10,-48.53,4.87,11.94,2.7,76.52,0.78,100.0,97.02
6,6,-48.02,0.78,10.0,2.42,75.07,0.52,95.0,85.94
7,10,-23.65,2.45,14.91,3.4,76.04,1.32,100.0,95.58
8,9,-68.76,3.98,12.22,2.2,76.78,1.02,99.81,93.35
9,8,-17.71,4.01,12.79,1.89,73.66,1.79,99.9,91.65
10,4,-45.37,6.34,23.3,3.21,77.57,0.33,100.0,99.75
11,11,-31.72,4.25,9.14,2.17,72.01,1.71,99.0,84.21
12,11,-67.29,7.42,22.79,3.62,77.22,0.98,100.0,98.86
13,14,-33.31,2.63,11.45,2.96,75.75,1.5,100.0,95.03
14,8,-47.36,3.12,15.56,2.27,75.82,1.68,100.0,94.67
15,3,-78.92,4.65,8.69,2.29,74.71,2.46,99.47,91.51
16,6,-33.33,4.06,9.09,2.28,76.37,0.87,94.58,89.09
17,8,-37.92,4.26,14.02,2.0,75.91,1.91,100.0,96.72
18,10,-60.15,4.03,9.45,2.32,75.54,1.72,100.0,92.36
19,10,-18.9,4.47,10.02,2.5,77.15,1.13,100.0,92.26
20,8,-17.88,3.54,17.85,3.42,76.96,0.95,100.0,95.14
Profiles >=80 pLdB,% of total,Outlier Profiles,Percentage of Total
0,0.0,40,17.62
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,36,-66.56,7.16,14.05,6.54,75.74,2.33,100.0,92.6
2,55,-27.8,5.85,11.86,3.36,74.66,2.38,100.0,91.2
3,47,-19.96,7.13,11.51,3.97,75.43,2.03,100.0,92.48
4,49,-49.39,5.91,14.19,4.95,76.23,1.43,100.0,94.72
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,35,-23.67,3.84,13.27,3.67,74.58,2.27,100.0,92.1
2,13,-68.07,7.1,21.72,4.18,77.23,0.94,100.0,98.94
3,21,-34.68,4.89,9.83,2.89,74.55,2.39,100.0,90.52
4,27,-17.12,4.78,11.22,3.09,74.41,1.81,99.9,90.95
5,21,-66.52,6.84,9.66,2.3,74.68,2.44,100.0,88.21
6,19,-42.88,7.49,15.36,5.19,76.52,1.45,100.0,97.42
7,36,-50.95,5.98,13.64,4.47,76.25,1.4,100.0,93.64
8,15,-22.25,6.85,10.14,3.16,77.16,1.08,100.0,93.11
Cluster Number,Profiles in Cluster,Avg Temp,Std Temp,Avg Hum,Std Hum,Avg Noise,Std Noise,Max Hum,Avg Max Hum
1,14,-22.7,6.87,9.83,3.04,77.33,0.9,99.48,92.62
2,31,-31.61,4.29,10.58,2.45,74.36,2.27,100.0,90.01
