,Elevation,Latent Variable 1,Latent Variable 2
0,121.0,3.64848,3.987128
1,700.0,5.239728,3.490194
2,446.0,4.01445,0.0
3,446.0,1.760647,1.989908
5,387.0,2.845276,1.763815
7,3.0,0.0,1.293232
9,173.0,8.602996,5.217587
10,91.0,1.239547,4.112091
11,790.0,1.768317,1.578396
13,189.0,7.752279,2.381411
14,700.0,6.676387,0.641134
15,1134.0,4.014642,3.151579
16,11.0,0.600913,7.144759
17,1619.0,6.90426,1.640072
18,5.0,0.644343,2.876617
19,317.0,2.070747,3.340346
20,1608.0,1.539181,1.547976
21,16.0,0.357707,2.202053
22,1252.0,1.157726,5.045234
23,506.0,4.869699,0.865302
24,60.0,0.0,7.155049
25,872.0,3.890543,3.339427
26,359.0,2.271644,3.6867
27,9.0,0.784472,2.994905
28,178.0,4.547073,4.48708
29,317.0,2.258375,6.443788
30,7.0,3.08147,0.724326
31,171.0,2.786077,3.710737
32,387.0,2.336285,3.222814
33,874.0,3.965703,3.71541
34,60.0,3.765168,0.0
35,345.0,1.046606,2.524547
36,9.0,7.584212,2.400982
37,751.0,2.049814,2.151187
38,9.0,2.740967,4.724564
39,345.0,4.953633,4.017103
40,121.0,3.360835,7.356771
41,1619.0,3.813353,3.596535
42,270.0,0.852537,0.354999
43,313.0,2.957542,3.068839
44,5.0,1.175376,2.776127
45,91.0,2.802436,5.181032
46,178.0,4.658482,4.993973
47,62.0,0.910004,2.027761
48,849.0,3.612264,0.546049
49,697.0,5.164155,4.228471
50,62.0,3.012955,4.032274
51,9.0,4.54957,1.537001
52,345.0,0.659426,1.114146
54,1625.0,5.294095,0.0
55,329.0,3.928596,3.043813
58,313.0,1.922631,1.806737
59,9.0,1.754772,1.513752
60,60.0,4.208546,2.534477
61,1289.0,6.243553,1.176254
62,121.0,2.359271,2.176565
63,506.0,3.493089,3.022014
65,11.0,6.435583,3.200512
67,350.0,4.744996,1.462186
68,287.0,4.170684,1.46168
69,874.0,1.168219,1.112837
70,178.0,2.668961,3.929502
71,446.0,2.335025,1.631325
72,1619.0,1.494193,0.704046
73,1619.0,3.100816,2.88667
74,229.0,0.1134,4.582038
75,16.0,0.006537,6.105501
76,53.0,0.0,5.462957
77,270.0,3.518356,4.560448
78,872.0,0.272189,3.585064
79,93.0,3.610511,3.797643
80,1619.0,0.53995,3.207761
81,387.0,5.043874,3.236924
82,313.0,4.796287,4.82176
83,215.0,2.227713,3.228532
84,229.0,3.593232,4.005615
85,697.0,4.123923,4.73995
86,79.0,4.158289,5.038082
87,350.0,2.874741,3.361346
89,700.0,3.753853,3.707493
90,178.0,1.826208,2.454835
91,506.0,6.158652,1.79274
92,1516.0,2.881647,3.026245
93,93.0,4.587033,5.595511
94,287.0,4.881355,3.919286
95,313.0,1.724624,1.830435
96,359.0,1.440861,3.165391
97,728.0,5.611832,3.734937
98,751.0,3.687787,2.452502
99,396.0,3.352031,2.43349
100,751.0,4.476854,3.665272
101,91.0,2.021441,2.452995
102,5.0,1.806129,3.013028
