,Elevation,Latent Variable 1,Latent Variable 2,Latent Variable 3
0,121.0,3.582201,1.877645,3.987336
1,700.0,1.934389,2.018931,4.589872
2,446.0,0.0,4.874904,1.796903
3,446.0,2.608736,2.470385,2.138032
4,405.0,0.963848,3.614119,8.256595
5,387.0,2.217783,3.748454,3.631761
6,1608.0,0.34845,2.236575,6.453195
7,3.0,3.460662,7.064243,1.639979
9,173.0,2.447886,2.146195,7.345197
10,91.0,5.616527,5.527512,2.676631
11,790.0,1.553888,0.862298,1.424962
13,189.0,1.208432,3.502676,5.105246
14,700.0,1.200319,5.432223,4.670867
15,1134.0,1.889264,0.491027,3.42639
17,1619.0,0.0,1.565866,3.631551
18,5.0,5.381942,2.074604,0.414166
19,317.0,4.562226,5.501581,3.576164
20,1608.0,2.36711,0.0,1.350078
21,16.0,3.728498,4.802585,1.580158
22,1252.0,7.494039,6.370138,2.50667
23,506.0,0.0,1.838421,2.315033
25,872.0,2.392442,0.180725,3.545208
26,359.0,4.052882,2.858455,2.685469
27,9.0,4.78185,2.045724,0.53801
28,178.0,3.474546,1.402333,4.679258
29,317.0,8.076782,6.867673,4.085641
30,7.0,1.515662,4.031807,2.714191
31,171.0,4.062226,0.934224,2.953998
32,387.0,3.931431,3.432892,2.97755
33,874.0,3.389904,3.836869,4.742042
34,60.0,2.039979,6.375005,3.753144
35,345.0,3.651625,1.760955,0.943571
36,9.0,2.059257,4.847582,5.903367
37,751.0,2.216164,0.683506,1.894892
38,9.0,5.223604,3.185588,3.3629
39,345.0,2.474406,0.972264,4.606241
40,121.0,8.91322,6.661579,5.159484
41,1619.0,2.497844,0.877389,3.493498
42,270.0,0.83446,2.143358,0.497923
43,313.0,2.894744,2.366937,3.210863
44,5.0,4.679766,6.299041,3.326391
45,91.0,6.296388,2.258493,3.175691
46,178.0,4.348098,3.878798,5.647782
47,62.0,3.345201,3.537824,1.605639
48,849.0,0.143,2.395461,1.895426
49,697.0,2.876731,1.917327,5.035392
50,62.0,4.591232,2.097245,3.611923
51,9.0,0.567098,1.757258,2.880281
52,345.0,3.295798,7.191437,0.741861
53,1475.0,1.059842,4.07842,8.206648
54,1625.0,0.293004,5.760354,3.303092
55,329.0,2.065499,1.941088,3.72286
57,329.0,1.631269,2.309368,8.214912
58,313.0,1.953631,1.841823,1.902624
59,9.0,1.559523,1.170983,1.37602
60,60.0,1.453038,1.807479,3.297588
61,1289.0,0.0,2.566566,3.351554
62,121.0,1.981278,1.875711,2.314364
63,506.0,2.352047,1.500433,3.22805
64,287.0,0.660084,6.098981,7.728231
65,11.0,2.974473,5.371772,6.67259
67,350.0,1.042209,2.969988,3.155871
68,287.0,0.968031,2.566223,2.821493
69,874.0,2.380431,3.411763,2.09869
70,178.0,4.280747,3.943102,3.348052
71,446.0,1.022267,0.025117,1.392827
72,1619.0,2.152251,4.393989,2.528264
73,1619.0,2.688838,3.476144,3.771908
74,229.0,8.31552,5.145287,0.055519
77,270.0,4.69522,2.824625,4.239054
78,872.0,5.220382,7.08828,2.438078
79,93.0,3.316131,2.399288,3.929461
80,1619.0,5.084035,5.112678,1.262759
81,387.0,1.429543,0.305571,3.884554
82,313.0,3.779899,1.974918,5.216167
83,215.0,4.342561,4.834045,3.402566
84,229.0,3.544129,3.478833,4.484248
85,697.0,4.376347,1.243264,4.560956
86,79.0,4.663903,4.093286,5.337253
87,350.0,3.371607,2.109513,3.139071
88,506.0,0.08895,4.769832,6.878072
89,700.0,2.955175,2.334548,3.993898
90,178.0,4.298952,6.26236,4.147367
91,506.0,0.0,1.16699,3.286434
92,1516.0,2.797217,0.668253,2.856475
93,93.0,5.044441,4.759043,6.161753
94,287.0,2.992399,3.095701,5.156618
95,313.0,2.347733,2.08843,1.979786
96,359.0,4.034798,3.549162,2.036021
97,728.0,2.752934,3.524388,5.3708
98,751.0,1.635059,1.908607,3.04978
99,396.0,1.981106,2.362613,3.098918
100,751.0,2.502826,0.211032,4.061339
101,91.0,2.911513,0.19851,1.93104
102,5.0,4.238592,4.759556,2.975295
103,317.0,1.799082,2.475261,2.114803
104,60.0,4.571641,4.051848,6.624932
105,1099.0,0.985163,3.131469,2.633776
108,10.0,4.111104,3.589284,4.482844
109,13.0,7.192467,7.485587,1.526902
110,1611.0,1.535439,1.829928,3.47415
111,317.0,1.785723,2.695323,2.738924
112,5.0,1.417459,3.670623,0.0
113,270.0,1.751926,3.368823,6.001299
114,11.0,2.315176,2.53758,2.179874
115,15.0,3.891823,3.122711,5.16195
116,173.0,2.042454,3.230324,1.985685
117,178.0,1.694093,3.655921,2.261749
118,1475.0,3.661731,2.609459,4.903852
119,178.0,2.078355,0.113339,3.02941
121,313.0,4.689264,1.92885,3.984937
122,1611.0,2.24669,2.205973,1.509931
123,60.0,0.453568,4.734915,4.22641
124,171.0,1.585413,3.427293,2.774813
125,12.0,3.676381,7.026541,0.375556
126,751.0,8.583838,7.283509,3.68281
127,91.0,3.253367,3.877348,4.815846
128,1099.0,1.495437,0.0,0.865258
129,173.0,4.950844,7.835036,0.668012
130,317.0,3.698336,2.344707,3.883908
131,317.0,3.721969,2.855855,3.87778
132,396.0,0.0,1.241538,4.596431
133,790.0,1.15636,6.174154,5.780414
134,874.0,0.0,1.849608,3.565305
135,405.0,0.279489,6.126853,4.809108
136,190.0,0.506756,1.691462,5.861097
138,1608.0,0.448421,2.596798,2.796659
139,214.0,1.854108,3.990819,1.6271
140,329.0,0.538875,3.648002,3.301249
141,5.0,5.935023,4.739454,3.632519
142,1029.0,0.93979,4.316063,6.537137
143,396.0,0.024279,3.905011,4.445919
144,178.0,4.046584,2.714766,2.668808
145,9.0,7.635702,7.460898,4.309493
146,1475.0,0.758496,0.075173,3.501665
147,11.0,2.817097,6.613358,1.21198
148,1619.0,3.128538,3.550393,4.827649
149,171.0,5.221938,2.32995,3.887336
150,790.0,0.014329,1.571935,1.656756
151,37.0,5.241888,1.900673,4.112029
152,506.0,0.521663,3.548009,7.761515
154,697.0,3.877474,1.81604,4.641994
155,180.0,4.684728,6.405043,3.176299
156,654.0,5.671241,3.214638,4.024431
157,10.0,3.759469,5.034539,4.496802
158,9.0,2.2591,0.34291,1.33439
159,5.0,7.607195,5.337072,2.116296
160,396.0,3.024762,1.297369,3.991777
161,790.0,2.146014,0.874313,3.014127
162,1289.0,2.028223,2.557869,4.799905
163,91.0,2.141565,1.335526,3.535678
164,700.0,0.0,4.785795,3.53694
166,506.0,0.48111,2.531555,2.724096
167,1608.0,0.83903,0.014508,1.280494
168,15.0,2.592331,1.532961,2.427776
169,137.0,3.529619,1.769113,3.733672
170,317.0,0.929394,1.393948,0.207391
171,12.0,3.069947,3.348013,3.305021
172,728.0,3.539796,1.71493,2.599518
173,10.0,3.831994,4.392284,5.709424
175,5.0,1.728244,1.433704,2.834452
176,345.0,0.665283,4.984929,3.235942
177,10.0,2.75051,2.381242,0.960467
178,245.0,1.802016,1.298962,4.11137
179,9.0,0.468776,0.0,1.768968
180,15.0,5.827966,6.688427,2.575438
181,178.0,2.525367,3.447221,3.990765
182,125.0,2.285131,2.699252,4.918273
183,12.0,1.772996,0.468855,1.426815
184,5.0,4.7357,1.551413,3.688792
185,697.0,3.527792,0.532512,5.182129
186,178.0,3.104029,3.092361,2.088248
187,37.0,7.42591,7.034638,4.121258
188,121.0,0.217157,0.716167,1.2183
189,317.0,8.547306,7.136924,4.208871
190,173.0,4.537768,3.081679,4.572576
191,751.0,3.052449,3.849945,8.474133
192,1516.0,5.160433,3.003172,5.491712
193,446.0,3.975323,2.155423,2.752398
194,1289.0,0.8234,3.393011,2.970995
196,9.0,1.41104,1.579563,0.49229
198,350.0,0.305909,2.428814,3.14194
199,270.0,0.0,2.350987,2.727953
200,1608.0,0.289166,0.0,1.365341
201,345.0,2.492966,1.657175,2.988632
202,178.0,5.06991,7.299868,5.268555
203,5.0,1.63585,4.595081,1.030243
204,173.0,4.701798,4.246699,2.717551
205,171.0,3.282924,2.187359,4.871991
206,178.0,2.254404,2.25236,4.032965
208,317.0,0.924845,0.473304,0.947347
209,121.0,2.93684,1.117755,2.481545
210,751.0,4.564461,4.839101,3.562352
211,10.0,4.070168,4.08427,6.709704
212,405.0,4.166208,2.674789,4.116668
