,Elevation,Latent Variable 1,Latent Variable 2,Latent Variable 3,Latent Variable 4
0,121.0,0.951497,2.39879,2.798607,4.174947
1,700.0,1.442413,1.346992,1.701073,4.978745
2,446.0,4.030294,0.0,0.0,1.780312
3,446.0,1.332718,1.487073,1.980105,2.000112
4,405.0,3.094134,0.883901,0.892555,8.939369
5,387.0,2.853772,0.768115,2.168809,3.635009
6,1608.0,1.830629,0.850994,0.150488,7.383204
7,3.0,4.98795,0.762706,3.516089,0.897736
9,173.0,1.309102,2.103258,1.986235,7.76303
10,91.0,2.763782,1.515216,4.794447,2.258104
11,790.0,0.48032,1.60992,1.009729,1.623111
13,189.0,2.776339,0.729951,1.094334,5.629507
14,700.0,4.717777,0.248664,1.420863,4.906727
15,1134.0,0.221554,1.905539,1.404896,3.856586
17,1619.0,1.33241,0.54439,0.0,4.189203
18,5.0,0.00524,2.528944,3.70769,0.496398
19,317.0,3.328646,1.251349,4.27024,3.251235
20,1608.0,0.0,2.253019,1.133349,1.490876
21,16.0,2.808367,1.455133,3.084077,0.939342
22,1252.0,2.783372,1.91037,6.797661,2.182209
23,506.0,1.684306,0.499611,0.0,2.690301
25,872.0,0.0,2.303396,1.631931,3.842109
26,359.0,1.052382,1.864929,3.149293,2.539295
27,9.0,0.0,2.114455,3.239632,0.573321
28,178.0,0.70013,2.534383,2.7068,4.83486
29,317.0,3.317636,2.207828,6.744719,3.723615
30,7.0,3.221824,0.693615,1.477474,2.818457
31,171.0,0.0,2.603411,2.741444,3.06843
32,387.0,1.795725,1.726335,3.242328,2.761908
33,874.0,2.581015,1.468362,3.114033,4.952835
34,60.0,5.285384,0.373601,2.199616,3.655639
35,345.0,0.186666,1.966687,2.126829,0.858139
36,9.0,3.956475,0.619049,2.188439,6.19292
37,751.0,0.12905,1.883698,1.432581,2.074241
38,9.0,1.111163,2.312787,4.004619,3.222001
39,345.0,0.482544,2.123469,1.898367,4.879062
40,121.0,2.96189,2.710406,7.582237,4.818282
41,1619.0,0.34795,1.968282,1.843591,3.677193
42,270.0,1.391178,0.891961,0.483959,0.443146
43,313.0,1.350392,1.730393,2.351183,3.261672
44,5.0,4.068604,1.162938,4.340863,2.74929
45,91.0,0.21164,2.793473,4.589577,3.2939
46,178.0,2.527036,2.19873,3.882607,5.737185
47,62.0,1.845788,1.710392,2.53642,1.257341
48,849.0,2.040628,0.49669,0.011858,2.068348
49,697.0,1.177069,1.98518,2.368195,5.255568
50,62.0,0.828574,2.853981,3.450347,3.6418
51,9.0,1.276923,0.837201,0.247622,3.289947
52,345.0,4.806379,0.205757,3.322212,0.391112
53,1475.0,3.545308,0.751217,1.130615,8.75482
54,1625.0,4.910853,0.0,0.427546,3.220936
55,329.0,1.260389,1.410966,1.78231,4.006913
57,329.0,1.729932,1.692229,1.338289,8.818255
58,313.0,1.094593,1.422239,1.454845,2.005392
59,9.0,0.584184,1.582016,1.032972,1.700323
60,60.0,1.163884,1.33521,1.034646,3.741315
61,1289.0,2.32691,0.249003,0.0,3.733535
62,121.0,1.123688,1.323396,1.560406,2.38535
63,506.0,0.898039,1.837262,1.824735,3.480253
64,287.0,5.320138,0.0,1.003694,8.269771
65,11.0,4.275509,1.033781,3.091283,6.626881
67,350.0,2.498255,0.643311,1.022098,3.47857
68,287.0,1.945053,0.726773,0.78838,3.112397
69,874.0,2.262941,1.129546,1.969801,1.740744
70,178.0,2.034846,1.579005,3.748266,3.267545
71,446.0,0.0,1.666644,0.434463,1.836662
72,1619.0,3.201627,0.687841,2.017897,2.233321
73,1619.0,2.381869,1.075529,2.519449,3.818042
74,229.0,1.178279,2.433599,7.189033,0.0
77,270.0,1.390158,2.585114,3.781746,4.254424
78,872.0,4.36409,1.134814,4.654112,1.765865
79,93.0,1.299485,2.042246,2.702628,4.188189
80,1619.0,2.368045,1.363547,4.214739,0.834732
81,387.0,0.125145,1.722359,0.942124,4.327856
82,313.0,1.03443,2.544617,3.076806,5.376106
83,215.0,2.857205,1.460392,3.778173,3.086376
84,229.0,2.365458,1.654282,3.299426,4.597941
85,697.0,0.428566,2.933669,3.204461,4.735291
86,79.0,2.616874,2.101348,4.17643,5.345073
87,350.0,0.98584,2.150137,2.637602,3.245401
88,506.0,4.264975,0.086429,0.253218,7.682133
89,700.0,1.419137,1.769789,2.537427,4.213633
90,178.0,4.371506,1.007905,4.242917,3.813516
91,506.0,1.065658,0.833991,0.0,3.822824
92,1516.0,0.120776,2.305252,1.945054,3.088665
93,93.0,3.186317,2.092764,4.755227,6.202313
94,287.0,2.238123,1.70638,2.750894,5.488941
95,313.0,1.034944,1.453761,1.696012,1.883845
96,359.0,1.47416,1.51189,3.100909,1.659922
97,728.0,2.634061,1.431728,2.649948,5.821506
98,751.0,1.210394,1.237621,1.254184,3.338211
99,396.0,1.733243,1.272526,1.700385,3.353581
100,751.0,0.004617,2.371501,1.724265,4.36443
101,91.0,0.0,2.443617,1.757492,2.145666
102,5.0,2.71985,1.411718,3.622856,2.522764
103,317.0,1.71925,1.211787,1.429005,2.135272
104,60.0,2.597214,2.355306,4.120247,6.792092
105,1099.0,2.631455,0.61132,0.963495,2.770051
108,10.0,2.278351,1.929121,3.657919,4.474147
109,13.0,3.8129,1.686849,6.451354,0.914676
110,1611.0,1.387877,1.118103,1.301815,3.852626
111,317.0,2.034957,1.000758,1.57454,2.825508
112,5.0,2.529513,0.987873,1.199778,0.0
113,270.0,2.712096,0.96326,1.654603,6.377831
114,11.0,1.497334,1.242016,1.872,2.065959
115,15.0,2.046505,2.052336,3.470842,5.242002
116,173.0,2.231965,0.973398,1.758262,1.772061
117,178.0,2.805206,0.659115,1.632083,2.146743
118,1475.0,1.579388,2.008714,3.135696,5.027377
119,178.0,0.0,2.101792,1.368166,3.328753
120,317.0,5.444287,1.132374,6.951902,0.216145
121,313.0,0.57799,2.612695,3.604989,4.161253
122,1611.0,1.120452,1.373285,1.583413,1.300628
123,60.0,4.070586,0.115286,0.581176,4.606266
124,171.0,2.620812,0.594094,1.577096,2.877492
125,12.0,4.579264,0.671843,3.907432,0.0
126,751.0,3.295881,2.22861,7.589645,3.297219
127,91.0,2.884621,1.415459,3.154367,5.003314
128,1099.0,0.0,1.670212,0.654179,1.006821
129,173.0,4.819249,0.757781,5.100568,0.024569
130,317.0,1.078125,2.369521,2.879281,4.112676
131,317.0,1.576457,2.089489,3.079147,3.941258
132,396.0,1.057229,0.830013,0.0,5.338043
133,790.0,5.348339,0.081115,1.436222,5.991537
134,874.0,1.484453,0.545987,0.0,4.120898
135,405.0,5.448497,0.0,0.544178,5.003596
136,190.0,1.367696,1.027891,0.260084,6.679564
138,1608.0,2.133529,0.418374,0.340084,3.015114
139,214.0,2.904786,0.806206,1.694456,1.247445
140,329.0,3.108624,0.379282,0.504241,3.376999
141,5.0,2.199589,2.288372,4.917499,3.333859
142,1029.0,3.81215,0.503326,1.101496,6.944738
143,396.0,3.543491,0.048524,0.173868,4.748132
144,178.0,1.28249,2.24478,3.099852,2.62552
145,9.0,3.906842,1.871825,6.738297,3.819724
146,1475.0,0.031178,1.315892,0.445632,4.048863
147,11.0,4.82804,0.742177,2.978694,0.602341
148,1619.0,2.574901,1.380939,2.967552,4.947646
149,171.0,0.755895,2.806326,3.950749,3.882462
150,790.0,1.252331,0.905148,0.0,2.151091
151,37.0,0.488773,2.924314,3.84197,4.191131
152,506.0,3.134753,0.689797,0.550091,8.66152
154,697.0,0.849662,2.544487,3.105741,4.856734
155,180.0,4.184443,1.32105,4.25526,2.528795
156,654.0,1.225928,2.895363,4.460559,3.976912
157,10.0,3.49409,1.161565,3.582449,4.282753
158,9.0,0.0,2.175827,1.261658,1.525169
159,5.0,1.770974,2.56929,5.825246,1.867965
160,396.0,0.665328,2.308536,2.3306,4.21045
161,790.0,0.377383,1.711554,1.60913,3.214898
162,1289.0,1.96739,1.2116,1.865279,5.228466
163,91.0,0.699545,1.722291,1.604803,3.847164
164,700.0,4.343033,0.0,0.0,3.813754
166,506.0,2.150943,0.711069,0.342688,3.018854
167,1608.0,0.0,1.286604,0.291279,1.556871
168,15.0,0.861949,2.02423,1.937068,2.691215
169,137.0,0.762086,2.444104,2.669695,3.838311
170,317.0,0.692102,1.07866,0.357356,0.264834
171,12.0,2.117737,1.446063,2.637977,3.23002
172,728.0,0.466933,2.013062,2.532249,2.515977
173,10.0,3.110494,1.642216,3.680212,5.788736
175,5.0,0.797552,1.386137,1.196703,3.114195
176,345.0,4.332028,0.22328,0.823542,3.259126
177,10.0,0.837872,1.71695,1.826398,0.688697
178,245.0,0.671996,1.641599,1.314015,4.492394
179,9.0,0.0,1.371549,0.021956,2.235301
180,15.0,3.788919,1.475749,5.019675,1.996023
181,178.0,2.517187,1.01288,2.390725,3.987646
182,125.0,1.804017,1.316525,2.051667,5.35011
183,12.0,0.08232,1.884032,1.022396,1.658587
184,5.0,0.201689,2.684431,3.46399,3.855737
185,697.0,0.164239,2.771007,2.552675,5.379301
186,178.0,1.672188,1.663145,2.394376,1.841843
187,37.0,3.626776,1.934249,6.432908,3.634034
188,121.0,0.454422,0.857656,0.0,1.604144
189,317.0,3.329152,2.337735,7.471266,3.770907
190,173.0,1.606644,2.274712,3.86645,4.638434
191,751.0,2.889964,1.778583,2.848022,8.876498
192,1516.0,1.554574,2.880394,4.37932,5.701554
193,446.0,0.705326,2.295927,2.855542,2.671598
194,1289.0,2.898428,0.381754,0.784314,3.165963
196,9.0,0.759383,1.214736,0.785382,0.386324
198,350.0,2.047714,0.496145,0.162369,3.408494
199,270.0,2.165414,0.315761,0.0,3.166455
200,1608.0,0.0,1.093651,0.0,1.606398
201,345.0,0.850115,1.840312,1.957372,3.219035
202,178.0,5.197002,1.132109,5.021842,4.892233
203,5.0,3.534789,0.751565,1.684875,0.684288
204,173.0,1.927438,1.575006,3.701799,2.35411
205,171.0,1.235318,2.201383,2.730767,5.131305
206,178.0,1.58129,1.485363,1.946899,4.296446
208,317.0,0.165111,1.355708,0.388512,1.21374
209,121.0,0.370858,2.303138,2.079018,2.759557
210,751.0,2.781558,1.473173,3.997143,3.238068
211,10.0,2.844718,2.044468,3.826119,6.864222
212,405.0,1.391414,2.33103,3.39785,4.153496
213,697.0,2.036165,2.859245,4.357881,7.259569
214,245.0,1.25382,1.51533,3.362162,0.0
215,506.0,0.728727,0.875897,0.382542,1.304868
216,1289.0,1.063248,1.180903,1.193341,2.198575
217,5.0,1.951919,1.523886,1.809671,5.908257
218,5.0,0.335809,3.781317,7.352526,3.898115
219,11.0,3.99367,1.556606,6.001945,3.014842
220,359.0,3.837205,0.674602,2.358733,4.254371
221,387.0,0.0,2.230488,1.728129,1.473393
222,405.0,0.0,2.391314,1.515182,2.878131
223,12.0,4.158685,1.48954,5.556808,3.054986
225,1475.0,0.094639,2.007698,1.645993,3.785107
226,874.0,1.13294,2.18107,2.989214,4.447956
227,62.0,3.439077,0.706084,1.489341,2.428729
228,171.0,2.396519,2.867737,6.142645,5.425991
229,405.0,0.317211,2.318844,2.56741,3.148124
230,874.0,2.697538,0.0,0.0,2.653789
231,173.0,0.028859,1.573623,0.732484,2.546869
232,1099.0,0.604334,1.244817,1.005361,2.072569
234,506.0,1.268108,0.880893,0.546527,0.895493
235,1289.0,1.655466,1.077145,1.514178,2.906523
236,405.0,1.777702,0.370072,0.0,2.248528
237,7.0,0.61185,1.534631,1.527331,0.823895
238,16.0,0.810187,1.194733,0.434611,0.387593
239,1134.0,0.952867,0.776426,0.0,2.585878
240,125.0,1.498242,2.738626,4.078194,5.299432
241,53.0,2.013774,0.8941,0.899787,0.47754
242,874.0,4.654992,0.0,0.0,3.596286
243,387.0,1.624671,1.02128,1.543255,3.536486
244,1608.0,1.401156,0.814838,0.468391,2.063593
245,16.0,2.35451,2.458298,4.301447,6.042324
246,849.0,0.89737,1.065395,1.567762,0.507186
247,357.0,2.097203,0.863774,1.265069,2.376058
248,329.0,1.180498,1.350728,0.775045,6.445298
249,790.0,2.082719,0.673368,0.82803,5.627083
250,506.0,2.52111,0.693477,0.590718,1.861497
251,91.0,2.2781,1.676495,3.873036,3.538613
252,12.0,0.7029,1.65597,1.365361,2.225231
253,506.0,2.097618,1.376956,1.99737,4.98735
254,654.0,3.246482,1.364219,4.208284,3.221274
255,345.0,0.14176,2.380003,2.212483,4.275447
256,93.0,3.706239,1.764548,6.108134,1.786462
257,215.0,2.253992,1.000701,1.080668,6.341124
258,396.0,2.331459,0.439901,0.359646,3.834857
259,62.0,5.006814,0.0,0.19197,7.011841
260,214.0,4.161823,0.0,0.0,5.810418
261,13.0,0.031158,2.328582,1.688219,2.251758
262,1475.0,1.817425,1.422565,2.394811,4.375379
264,446.0,2.583963,1.244944,2.709816,3.409207
265,214.0,3.429168,0.433064,0.580971,1.994153
266,5.0,1.32376,0.752615,0.0,0.602874
267,9.0,4.615202,1.132862,4.992902,3.303963
268,137.0,0.48042,1.91499,1.471011,1.533691
